Date,Time,Round,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Line,Cover,H/A Cover,F/D Cover,Total Line,O/U,Total,Weather,Temp,H Streak,A Streak,Home 1H,Away 1H,1H Line,1H Total Line,H/A Win?,Winner,W Margin,Cov Margin,F/D Win,Fav,Dog,1H Cover,1H H/A Cover,1H F/D Cover,1H Total,1H Winner,1H H/A Winner,1H F/D Winner,Home 2H,Away 2H,2H Total,HSH,Venue,City,State,Country,Neutral Ven?
13/3/09,,1,BRI,NQL,19,18, 1.69 , 2.15 ,-3.5,NQL,AWAY,DOG,,,37,,,,,,,,,HOME,BRI,1,2.5,FAV,BRI,NQL,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,19,18,37,2ND,,,,,
13/3/09,,1,MEL,SGI,17,16, 1.40 , 2.93 ,-8.5,SGI,AWAY,DOG,,,33,,,,,,,,,HOME,MEL,1,7.5,FAV,MEL,SGI,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,17,16,33,2ND,,#N/A,#N/A,#N/A,
14/3/09,,1,CBY,MAN,34,12, 2.52 , 1.51 ,6.0,CBY,HOME,DOG,,,46,,,,,,,,,HOME,CBY,22,28,DOG,MAN,CBY,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,34,12,46,2ND,,#N/A,#N/A,#N/A,
14/3/09,,1,CRO,PEN,18,10, 1.42 , 2.87 ,-7.5,CRO,HOME,FAV,,,28,,,,,,,,,HOME,CRO,8,0.5,FAV,CRO,PEN,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,18,10,28,2ND,,#N/A,#N/A,#N/A,
14/3/09,,1,WAR,PAR,26,18, 1.40 , 2.95 ,-8.5,PAR,AWAY,DOG,,,44,,,,,,,,,HOME,WAR,8,0.5,FAV,WAR,PAR,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,26,18,44,2ND,,#N/A,#N/A,#N/A,
15/3/09,,1,SYD,SOU,12,52, 1.56 , 2.41 ,-5.5,SOU,AWAY,DOG,,,64,,,,,,,,,AWAY,SOU,40,45.5,DOG,SYD,SOU,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,12,52,64,2ND,,#N/A,#N/A,#N/A,
15/3/09,,1,GLD,NEW,34,20, 1.42 , 2.85 ,-7.5,GLD,HOME,FAV,,,54,,,,,,,,,HOME,GLD,14,6.5,FAV,GLD,NEW,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,34,20,54,2ND,,#N/A,#N/A,#N/A,
16/3/09,,1,WST,CAN,34,26, 1.52 , 2.51 ,-6.0,WST,HOME,FAV,,,60,,,,,,,,,HOME,WST,8,2,FAV,WST,CAN,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,34,26,60,2ND,,#N/A,#N/A,#N/A,
20/3/09,,2,BRI,MEL,16,14, 1.65 , 2.21 ,-3.5,MEL,AWAY,DOG,,,30,,,,,,,,,HOME,BRI,2,1.5,FAV,BRI,MEL,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,16,14,30,2ND,,#N/A,#N/A,#N/A,
20/3/09,,2,SOU,PAR,8,14, 1.58 , 2.36 ,-5.5,PAR,AWAY,DOG,,,22,,,,,,,,,AWAY,PAR,6,11.5,DOG,SOU,PAR,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,8,14,22,2ND,,#N/A,#N/A,#N/A,
21/3/09,,2,NQL,WST,42,14, 1.35 , 3.16 ,-10.5,NQL,HOME,FAV,,,56,,,,,,,,,HOME,NQL,28,17.5,FAV,NQL,WST,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,42,14,56,2ND,,#N/A,#N/A,#N/A,
21/3/09,,2,PEN,CBY,26,28, 2.48 , 1.52 ,6.0,PEN,HOME,DOG,,,54,,,,,,,,,AWAY,CBY,2,4,FAV,CBY,PEN,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,26,28,54,2ND,,#N/A,#N/A,#N/A,
21/3/09,,2,SGI,GLD,16,10, 1.48 , 2.62 ,-6.0,PUSH,PUSH,PUSH,,,26,,,,,,,,,HOME,SGI,6,0,FAV,SGI,GLD,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,16,10,26,2ND,,#N/A,#N/A,#N/A,
22/3/09,,2,MAN,WAR,24,26, 1.51 , 2.51 ,-6.0,WAR,AWAY,DOG,,,50,,,,,,,,,AWAY,WAR,2,8,DOG,MAN,WAR,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,24,26,50,2ND,,#N/A,#N/A,#N/A,
22/3/09,,2,CAN,SYD,4,28, 1.49 , 2.58 ,-6.0,SYD,AWAY,DOG,,,32,,,,,,,,,AWAY,SYD,24,30,DOG,CAN,SYD,PUSH,PUSH,PUSH,0,DRAW,DRAW,DRAW,4,28,32,2ND,,#N/A,#N/A,#N/A,
